startTime_ISO8601,startTime_secondsSinceMidnight1Jan1970UTC,estimatedSecondsSinceAlert,wantingAnything,whatWanting,wantingIntensity,wantedToFeel_control,wantedToFeel_lessStress,wantedToFeel_goodAboutMe,wantedToFeel_connected,wantedToFeel_comfort,wantedToFeel_novelty,wantedToFeel_calm,wantedToFeel_health,wantedToFeel_energy,wantedToFeel_goodPerson,wantedToFeel_competent,wantedToFeel_acknowledged,wantedToFeel_helpful,wantedToFeel_other,wantedToFeel_specifiedOther,wantedToFeel_nothingInParticular,doing,doing_specifiedOther,withOthers,feelingBadToGood,energy,physically_good,physically_energized,physically_hungry,physically_tired,physically_uncomfortable,physically_other,physically_specifiedOther,physically_noFeeling,feeling_angry,feelingIntensity_angry,feeling_anxious,feelingIntensity_anxious,feeling_awe,feelingIntensity_awe,feeling_content,feelingIntensity_content,feeling_frustrated,feelingIntensity_frustrated,feeling_grateful,feelingIntensity_grateful,feeling_happy,feelingIntensity_happy,feeling_jealous,feelingIntensity_jealous,feeling_loving,feelingIntensity_loving,feeling_proud,feelingIntensity_proud,feeling_restless,feelingIntensity_restless,feeling_sad,feelingIntensity_sad,feeling_other,feeling_specifiedOther,feeling_noEmotion,thinkingOverAndOver,comparingToOthers,lonely,selfWorth,appreciating,stressed
"2017-03-29T21:18:00-07:00",1490847480,9659,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"travel",,0,0.422,0.215,0,0,0,1,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0.06,0.492,0,0
"2017-03-29T09:02:16-07:00",1490803336,15,1,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"travel",,2,0.478,0.478,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.498,0,0.189
"2017-03-28T14:52:34-07:00",1490737954,44,2,"Work on capstone project ",0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.61,0.375,0,0,0,0,0,1,"Relaxed ",0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.657,0.112,0.191
"2017-03-28T09:44:04-07:00",1490719444,1823,2,"Work on capstone project ",0.458,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.592,0.349,0,0,0,1,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.5,0,0
"2017-03-27T11:59:17-07:00",1490641157,7634,2,"Work on capstone project ",0.622,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"work",,1,0.707,0.701,0,0,0,1,0,1,"Insomnia ",0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.653,0,0
"2017-03-26T21:04:54-07:00",1490587494,310,2,"Journal ",0.283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"other","Writing in my journal ",0,0.135,0.137,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0.241,,0.159,0.235,0,0.309
"2017-03-26T13:48:28-07:00",1490561308,10,2,"Finish programming  for the day ",0.414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.5,0.498,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.5,0,0.247
"2017-03-25T21:40:06-07:00",1490503206,6,2,"I want to eat ",0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"talk",,2,0.745,0.769,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0.552,0,0
"2017-03-25T17:57:33-07:00",1490489853,6,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,"other","Walking ",0,0.412,0.422,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0.376,0.5,0.197,0
"2017-03-25T13:34:01-07:00",1490474041,14,2,"Exchange glasses ",0.329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"chores",,2,0.675,0.739,0,0,1,0,0,0,,0,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.645,0,0.189
